text,label
"보고싶더랴.. 오라고는 못하겠고
아이고..담주에 가야겠네
가끔 가면 좋아하시는데 휴게소 들르지말고 바로 서산집만 들러서 바로  가는걸로
그래야지
우린 맨날 잠깐 들러서 그러려니하신다 갈꺼면 위에 사진 프린트해다 아빠드려
왜? 저게어딘지모르겠다
아래집이랑 수로때문에 문제바 있나봐. #@이름#네 집 앞.. 인천 에서 온집 밭",일반 대화
"아니 나 다음주까지 완결치는게 목표인데 의자 안옵니까?ㅠㅠ
ㅠㅠㅠㅠㅠㅠ 개빡쳐 진짜 의자 좀 달라고 나는 거실에서 글 못쓴다고 ㅠㅠㅠ 거실에서 이런거 어떻게 씀
미친ㅋㅋㅋㅋㅋ
저번에 글 쓰다가 남동생이 계속 왔다갔다거려서 내 뒤로 진지하게 너무 스트레스 받더라",일반 대화
"맞아 현실적인 조언이군
근데 난 오히려 저런 현실적인 조언이 조아
ㅋㅋㄱㅋ#@기타# 말투만아니였으면
ㅜㅜ
상처받았을수도잇어
맞아 ㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ
말투가 다정하니까 녹아내리는거지 내가했어봐
근데 저렇게 다정한 목소리로
#@기타# 지금 힘든데 그런말이나와?
진지하세맣해주니까 넘 조아ㅜ 시앙ㅋㅋㅋㅋㅋㅋ 아냐 언니도 #@이름#처럼 말해주거듄? ㅋㅌㅌㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋ
아 그래? 그럼 다행인데ㅠ 현실적인 조언이 진짜 널 생각해서 얘기해주는거라구
마자ㅠㅠ그게 진짜 위로도 되구 도움도 된다궁 ㅠㅠ",일반 대화
"나 엘레베이터안인데 애기가 나 발로 차서
어엉 ㅇㅁㅇ 왜차!
걍 안쳐다보고 그러거나말거나 하는데 엄마가회들짝! 죄송함다! 이래서
ㅋㅋㅋㅋ앜ㅋㅋㅋㅋ케
걍 애기니까 그럴수있지 차도 가만히 안맞은척
ㅋㅋㅋㅋㅋ마젘ㅋㅋ
걍 그러고 있었는데 엄마 혼자 넘 놀라셨어
ㅋㅋㅋㅋㅋ아놔 차는데 가만히있는게 웃기다고 ㅠㅠㅠㅠㅠㅠ",일반 대화
"#@기타#데이에 다들 시다 뛸 준비하고와
#@이름#시켜 #@이름#가 모형다만들엇어
헉
금손이야
#@이름#씨 백수야 ?
아니.. #@이모티콘#
흥!",일반 대화
"ㅋㅋㅋㅋㅋ가족들없거나 #@이름#이만잇으면 와도되공
#@이름#이는뭐 같이 먹으면되지 ㅎㅎㅎ
ㅋㅋㅋㅋㅋㅋㅋ근데 자기 우리집와서 나 안건드릴자신잇으면 와 치근덕대는거 하지말고 ㅎㅎ
아니 남자친구인데 그정도도 못하나 흥 치킨만쳐먹고 방에서 전 잘게요 됫죠?
ㅡㅡ 여자친구네집에서 잠만쳐자는 새끼가 다잇네..
그집잠잘옴..",일반 대화
"여기어디야??
#@시스템#사진# 짱마싯다ㅜ
여기도 청년이네 담에 한번 가봐야겠다
내가 안내할게 볶음밥뒤져진자
민락쪽이에 좀머네 구랭 나볶음밥개사랑하는데
아냐아냐 여기 의정부야 나 월요일에 센터장님한테 말해볼게 출근 하루 늦출 수 있나!!
아 슈요일날?? 알겠엉 ㅎㅎ 근데 조금 일찍말해줄수있어??
어떤거?? 약속있엉??
웅웅 약속있는데 만약 출근미뤄지면 나도 약속 미뤄야지 저녁으루
아구래??? 수요일에 약속있는거야?
웅 있긴있엉
아라숴",일반 대화
"몰래 만날까봐 이제 몰래 만나겠지
몰래도 안만날게
내가 거짓말만 하지말라고 그렇게 애원했는데 나는 모르지 사람 안 변하니까 #@시스템#사진# 이것도 나 울산에 있을 때 피씨방 간다고  거짓말한거잖아
카드내역은 수정 안되니까 카드랑 카카오페이 내역 보내줄게 어떻게 해야 여보 신뢰를 얻을지 모르겠어
나도 내가 어떻게 해야될지 모르겠어 여자친구가 싫어하니까 신경쓰니까 안된다는 말 하는 것까진 안 바라 그런 마음을 가져본 적도 없잖아
그건 아니야 여보
그럼? 나때문에 여자만나는 약속 취소한 적 있어? 나 너무 힘들어 오빠 나 진짜 힘들다고 나한테 왜그래 저건 아니잖아",일반 대화
"판단하지말고
넹 ㅋㅋㅋㅋ 빵터져ㅋ
근데 절대 그리안할겨 대표도알겟지 사람많이 다뤄봐서
만만치않아서 당황했을거에요
힘빼",일반 대화
"바보안되길 간절히 바라고있어
바부되랑~~~
안돼 ㅜㅜ 놀리면 큰1날줄알아
ㅋㅋㅋㅋㅋ큰일아닌데영~?
혼나 ㅎㅎ 흠 빨리가고싶다 물론 머리가 괜찮다는 전제하에
ㅋㅋㅋㅋ안갱차느먄 안오나?
가긴가는데 부끄럽고우울하겠지
훔 세시전에는.오나?ㅋㅋ나.학생회모임가야되는젱ㅎㅎ",일반 대화
