text,label
"닌 된다 오카방 보니까
면접
열폭하는
바보 그자체야
인간들 만음
난 걍 불가사리야 왜
몰라 누가 700대인데ㅜㅜ 괜찮겟죠? 하니까 토익 점수 자랑하시는거에요?ㅋㅋㅋㅋㅋ
?엥ㅋㅋㅋㅋㅋㅋㅋ
글고 어떤 사람이
싸이코냐곸ㅋㅋㅋ ㅇㅇ
3.9에 845 입니당 ㅜㅜ 이러니까 반응 오지면서
3.9..?
전 감자입니다 이럼ㅋㅋ",일반 대화
"그치 하지만 오빠가 아니면 내가 그오빠들을 따로 만날일은 없지
억울하면 너도 가지말거나 너의 남친도 너의 친구들과 친해질 수 밖에 없게
다음번에 또 거기 빌릴 수 있게되면
기회나 자리를 만들면 되지 ㅋㅋㅋㅋㅋㅋㅋ
그때는 내친구들에 오빠 껴서 갈래
거기가 어디여? 오빠가 어색해할듯
가평 스위스마을에 있는 펜션 근데 운전할 사람 필요한데
#@이름# 남친 운전해
그래 #@이름#오빠를 기사로 써야겠다
운전할줄알어
#@이름#씨는 장롱면허야 20살엔가 21살에 땄으니 벌써 7-8년 됐는데 나는 무면허 너 면허 따는건 어케 되고있는거야?",일반 대화
"오 생각보다 깔끔?
나야 #@이름# ㅎ
풉 ㅋ #@이름# 멋지다잉~
더
#@이름# 남자같다~~~
입에 침바르고 말하렴~
진짜루야 ㅎ 나 초밥 먹으러와써욤 짱신남 연어킬러
초밥 좋아행?
응 !
아따 울 #@이름#",일반 대화
"차라리 아까 20시간 간다
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그노무 20시간 ㅇ
라고 하는게 차라리 더 파이팅 있어보였음
ㅋㅋㅋㅋㅋㅋㅋ
생기돋아보이거 그런거 잇어
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미췬
뱐명거리가 업다는거 먼지알겟는데 공부할땐 그냥 터무니업어도 으쌰으쌰해야되는거같음 오늘 0시간해도 아내잉 조져~~!!!
알았어 이제 되는대로 살자란 말 안함 오키오키
아니아니 ㅋㅋ해도되는데 너가 그말을하면서
ㅋㅋ ㅇㅇ
너가 스스로 기분이 쳐지는거같아서 좀 그랫어
엉
걍 차라리 20시간 와쳐
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
그게 더 생기잇어보여 아니 어차피 당장 눈뜨면 합격인거아닌데",일반 대화
"입원하나요?!
조용하네 아직 기다리는중요ㅎㅎ
역시 일찍일어난새가 먹이를먹네요
먹이가 남았는지 모르겠네요 ㅎㅎㅎㅎ
ㅎㅎㅎㅎ 남아야하는뎅~!!!! 나도 방금 엄마 재난지원금 신청해줫다 엄청간단하네??
아정말?? 공인인증서만있인면돼ㅋㅋ 쉬워ㅎㅎㅎ
아 그냥 카드충전으로해서 카드번호만 잇으면 되던데 공인인증서 필요한건 상품권신청인가여!?
잉 카드충전도 처음에 공인인증서 필요한데???
신청방법 또 변경된건가???ㅎㅎㅎㅎㅎ
아그런가??? 공인인증서필수던데 신기허네
헐머지 ㅋㅋㅋㅋ 아니면 그 지낸지그원금 조회하는게 필요햇던거아냐??
아냐아냐ㅋㅋ 공인인증서 둘 다 필요했어ㅋㅋ 뭐징 아닌가 갑자기 헷깔리넉
ㅋㅋㅋㅋㅋㅋㅋㅋ일단 둘다 신청잘햇으니 됐어",일반 대화
"땅콩이 방에만있으면 안답답해 하냐?
뭐 외롭기는 하겠지
ㅋㅋㅋㅋ많이 외로울거 같음
뭐 내가 집에 없을때는 맨날 우는거 같더라
ㅋㅋㅋ진짜 외롭긴하겠다
그런데 어쩌겟어
그니까 혼자있으면 진짜 힘들거같은데
그래도 일해야하는데 데려갈수도 없으니까ㅠㅠㅠ",일반 대화
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그냥 몇일뒤면 지저분해질거같아서 미리 잘라버렸너
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 계속 길러야하는거 아닌가요
ㅋㅋㅋㅋㅋㅋㅋㅋ 다듬었다는 표현이 맞으려나 옆 뒤만 치구
ㅋㅋㅋㅋㅋㅋㅋ응응
길이는 그대로야 휴우..
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 형광펜은 사떠?
아 응응 어제 샀어
아하 어제 샀군 오늘은 머리만 잘라써?
음.. 머리 자르고 짐쌀동안 조금 잤어..
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ잘해쏘",일반 대화
"#@이름#아 나 잠깐 집에좀 왔어 먼저 복귀하면되고 나 늦으면 #@이름#이가 좀 더해줄꺼야
웅웅! 오빠 ㅇㅅㅇ 그만둔 #@이름#씨가 나이가 몇이였지?
음?? 몇살이더라 ;; 너랑 지슷하지않았나 비슷
ㅇㅅㅇ 아구랭?
ㅇㅇ? 왜물어봤었어??
아닝아닝 나보다 어리다고 생각했었는데 #@이름#팀장이랑 #@이름#씨랑 친구더라규 ㅇㅅㅇ 내가 몰래 캐낸거니깤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ#@이름#팀장한테 물보지망!
헐 ㅋㅋㅋㅋㅋㅋㅋㅋ 대박 어케알았음?
심지어 둘이 친한친구야 ㅇㅅㅇ 여행도 같이가고ㅋㅋㅋㅋ#@기타#친해보여",일반 대화
"내일은 뭐할거임
내일 쉽니다 ㅋㅋㅋㅋㅋㅋ
구랭 서브웨이 가쟈 ㅋㅋ
복싱 구경갈래여? 고고? 일단 서브웨이 고고
아니 난 심심해 ㅋㅋ 나 등록하러 갈때 구경갈래 ㅋㅋ 일단 이따봐영 ㅋㅋ
#@이름# 집에잘왔어요 아까 미안해요
#@이모티콘#
#@이모티콘# 미안해요
도ㅐㅆ어
잘못했습니다
돼쒀
#@시스템#동영상#",일반 대화
"스키틀즈, 브라우니, 촉촉한초코칩 딱 이 세개 떔에 요즘 살찐듯
크....쩐다 다 맛있는거야ㅠㅠㅠㅠ 나는 나쵸... 너가 전에 도리토스?
한개만 아니 쪼꼼씩만 먹으면 되는데
언젠가 그때 한번 먹자고 했었잖아
한번 먹을 때 왕창머거",일반 대화
